Geneid,Chr,Start,End,Strand,Length,barcode01_counts,barcode02_counts,barcode03_counts,barcode04_counts,barcode05_counts,barcode06_counts,barcode07_counts,barcode08_counts,barcode09_counts,barcode10_counts,barcode11_counts
TK0588,TS559_Genomic_Sequence.seq,505258,505680,-,423,0,0,1,0,1,0,0,0,0,0,0
TK0589,TS559_Genomic_Sequence.seq,505831,506340,-,510,0,0,0,1,2,0,0,0,0,0,0
TK0590,TS559_Genomic_Sequence.seq,506351,506581,-,231,0,0,0,1,2,0,1,0,0,0,0
TK0591,TS559_Genomic_Sequence.seq,506705,507712,+,1008,0,0,0,0,1,0,0,0,2,0,0
TK0592,TS559_Genomic_Sequence.seq,507819,509198,-,1380,0,0,0,0,0,0,0,0,0,0,0
TK0593,TS559_Genomic_Sequence.seq,509179,510342,-,1164,0,0,0,0,0,0,0,0,1,0,0
TK0594,TS559_Genomic_Sequence.seq,510612,510968,+,357,0,0,1,3,3,0,0,1,2,0,0
TK0595,TS559_Genomic_Sequence.seq,510939,511493,-,555,0,0,0,0,0,0,1,0,0,0,0
TK0596,TS559_Genomic_Sequence.seq,511661,512497,+,837,0,0,0,0,0,0,0,0,0,0,0
TK0597,TS559_Genomic_Sequence.seq,512726,513277,-,552,18,9,52,33,35,3,5,4,42,0,2
TK0598,TS559_Genomic_Sequence.seq,513274,513474,-,201,0,0,0,0,1,0,0,0,0,0,0
TK0599,TS559_Genomic_Sequence.seq,513552,513857,-,306,0,0,0,0,0,0,0,0,0,0,0
TK0600,TS559_Genomic_Sequence.seq,513859,514548,-,690,0,0,0,0,0,0,0,0,0,0,0
TK0601,TS559_Genomic_Sequence.seq,514559,515860,-,1302,0,0,0,0,0,0,0,0,0,0,0
TK0602,TS559_Genomic_Sequence.seq,516019,516819,-,801,0,0,0,0,0,0,0,0,0,0,0
TK0603,TS559_Genomic_Sequence.seq,516821,517288,-,468,0,0,0,0,0,0,0,0,0,0,0
TK0604,TS559_Genomic_Sequence.seq,517294,517776,-,483,0,0,0,0,0,0,0,0,0,0,0
TK0605,TS559_Genomic_Sequence.seq,517788,518591,-,804,0,0,0,0,0,0,0,0,0,0,0
TK0606,TS559_Genomic_Sequence.seq,518595,518825,-,231,0,0,0,0,0,0,0,0,0,0,0
TK0607,TS559_Genomic_Sequence.seq,325962,326297,+,336,0,0,0,0,0,0,0,0,0,0,0
TK0608,TS559_Genomic_Sequence.seq,325429,325950,+,522,0,0,0,0,0,0,0,0,0,0,0
TK0609,TS559_Genomic_Sequence.seq,519710,521848,-,2139,0,0,0,0,0,0,0,0,0,0,0
TK0610,TS559_Genomic_Sequence.seq,521853,523739,-,1887,0,0,0,1,0,0,1,0,0,0,0
TK0611,TS559_Genomic_Sequence.seq,321027,321380,+,354,0,0,0,0,0,0,0,0,0,0,0
TK0612,TS559_Genomic_Sequence.seq,320523,320711,+,189,0,0,0,0,0,0,0,0,0,0,0
TK0613,TS559_Genomic_Sequence.seq,524763,524903,-,141,0,0,0,0,0,0,0,0,0,0,0
TK0614,TS559_Genomic_Sequence.seq,524900,525853,-,954,0,0,0,0,0,0,0,0,0,0,0
TK0615,TS559_Genomic_Sequence.seq,526224,526484,+,261,1,2,2,4,6,3,3,0,6,0,0
TK0616,TS559_Genomic_Sequence.seq,526511,526660,+,150,0,0,0,0,1,0,1,0,0,0,0
TK0617,TS559_Genomic_Sequence.seq,526714,527340,+,627,0,0,2,1,3,1,3,0,1,0,0
TK0618,TS559_Genomic_Sequence.seq,527380,527985,+,606,0,0,1,0,1,0,0,1,3,0,0
TK0619,TS559_Genomic_Sequence.seq,527961,528233,+,273,0,0,1,0,0,0,0,0,0,0,0
TK0620,TS559_Genomic_Sequence.seq,528230,528544,+,315,0,0,0,0,1,0,0,0,0,0,0
TK0621,TS559_Genomic_Sequence.seq,528525,528755,+,231,0,0,0,0,1,0,0,0,0,0,0
TK0622,TS559_Genomic_Sequence.seq,528752,528997,+,246,0,0,0,0,0,0,0,0,1,0,0
TK0623,TS559_Genomic_Sequence.seq,528994,529401,+,408,0,0,0,0,1,1,0,0,0,0,0
TK0624,TS559_Genomic_Sequence.seq,529394,529684,+,291,0,0,0,1,1,0,0,0,0,0,0
TK0625,TS559_Genomic_Sequence.seq,529675,531162,+,1488,1,0,2,8,4,2,0,0,1,0,0
TK0626,TS559_Genomic_Sequence.seq,531139,531546,-,408,1,0,0,7,4,1,0,0,1,0,0
TK0627,TS559_Genomic_Sequence.seq,531631,532770,+,1140,1,2,1,7,4,0,0,0,4,0,0
TK0628,TS559_Genomic_Sequence.seq,532805,533932,+,1128,1,0,3,14,13,0,1,0,12,0,0
TK0629,TS559_Genomic_Sequence.seq,533933,534370,-,438,3,0,2,3,3,0,0,0,2,0,0
TK0630,TS559_Genomic_Sequence.seq,534382,535698,-,1317,0,0,1,0,6,0,0,0,5,0,0
TK0631,TS559_Genomic_Sequence.seq,536023,536862,+,840,0,0,0,0,0,0,0,0,0,0,0
TK0632,TS559_Genomic_Sequence.seq,536863,537225,+,363,0,0,1,0,0,0,0,1,0,0,0
TK0633,TS559_Genomic_Sequence.seq,537246,538313,+,1068,1,0,1,0,1,0,0,0,1,0,0
TK0634,TS559_Genomic_Sequence.seq,538320,539966,+,1647,1,0,3,4,1,1,0,0,0,0,0
TK0635,TS559_Genomic_Sequence.seq,540002,540697,+,696,0,0,1,0,0,0,0,0,1,0,0
TK0636,TS559_Genomic_Sequence.seq,540687,541310,+,624,0,0,0,0,0,0,0,0,0,0,0
TK0637,TS559_Genomic_Sequence.seq,541307,541930,+,624,0,0,0,0,0,0,0,0,0,0,0
TK0638,TS559_Genomic_Sequence.seq,541932,544175,+,2244,0,0,0,0,1,2,0,0,0,2,0
TK0639,TS559_Genomic_Sequence.seq,544219,544704,+,486,0,0,0,1,0,0,0,0,0,0,0
TK0640,TS559_Genomic_Sequence.seq,544716,545471,+,756,0,0,0,0,0,0,0,0,0,0,0
TK0641,TS559_Genomic_Sequence.seq,545493,546518,+,1026,0,0,0,2,2,0,1,0,0,0,0
TK0642,TS559_Genomic_Sequence.seq,546527,546775,+,249,0,0,1,0,1,0,0,0,0,0,0
TK0643,TS559_Genomic_Sequence.seq,546846,547199,+,354,1,0,7,18,14,4,4,1,0,0,0
TK0644,TS559_Genomic_Sequence.seq,547243,547569,+,327,0,0,6,24,8,0,1,2,2,0,0
TK0645,TS559_Genomic_Sequence.seq,547547,548530,+,984,1,4,11,32,17,1,4,4,8,0,0
TK0646,TS559_Genomic_Sequence.seq,548531,548866,+,336,0,0,1,7,2,0,0,1,0,0,1
TK0647,TS559_Genomic_Sequence.seq,549096,550166,+,1071,0,1,0,2,3,2,0,0,0,0,0
TK0648,TS559_Genomic_Sequence.seq,550292,551476,+,1185,1,1,0,1,5,0,0,1,6,0,0
TK0649,TS559_Genomic_Sequence.seq,551334,552059,+,726,1,0,2,4,7,4,2,0,2,0,0
TK0650,TS559_Genomic_Sequence.seq,552191,552715,+,525,3,2,4,23,18,0,1,2,4,0,0
TK0651,TS559_Genomic_Sequence.seq,552761,553750,-,990,0,1,2,5,4,0,0,1,2,0,0
TK0652,TS559_Genomic_Sequence.seq,553883,554692,+,810,0,2,2,1,3,0,1,1,0,0,0
TK0653,TS559_Genomic_Sequence.seq,554799,555827,-,1029,0,0,1,3,3,1,2,1,5,0,0
TK0654,TS559_Genomic_Sequence.seq,555895,557148,-,1254,3,7,5,14,3,1,8,5,37,0,0
TK0655,TS559_Genomic_Sequence.seq,557141,557770,-,630,0,0,0,0,0,0,0,0,0,0,0
TK0656,TS559_Genomic_Sequence.seq,557880,558338,-,459,4,2,2,1,1,1,1,0,2,0,0
TK0657,TS559_Genomic_Sequence.seq,558522,559814,+,1293,1,3,14,30,28,1,3,8,27,1,1
TK0658,TS559_Genomic_Sequence.seq,559854,561380,+,1527,3,2,7,17,5,1,1,2,9,1,0
TK0659,TS559_Genomic_Sequence.seq,561377,562411,+,1035,1,1,1,6,9,0,2,1,5,0,0
TK0660,TS559_Genomic_Sequence.seq,562408,563319,+,912,1,0,2,14,1,2,5,3,12,0,0
TK0661,TS559_Genomic_Sequence.seq,563326,564327,-,1002,0,0,2,9,2,0,1,1,1,0,0
TK0662,TS559_Genomic_Sequence.seq,564425,566557,+,2133,0,0,1,3,4,0,2,1,1,0,0
TK0663,TS559_Genomic_Sequence.seq,566572,566802,-,231,1,2,3,6,9,0,3,0,3,0,0
TK0664,TS559_Genomic_Sequence.seq,566881,567528,-,648,0,0,0,0,0,0,0,0,0,0,0
TK0665,TS559_Genomic_Sequence.seq,567748,569145,+,1398,8,2,15,39,58,3,12,6,15,1,1
TK0666,TS559_Genomic_Sequence.seq,569188,569736,-,549,0,0,3,7,10,0,0,0,3,0,0
TK0667,TS559_Genomic_Sequence.seq,570047,570754,+,708,1,0,3,1,5,3,3,0,0,0,0
TK0668,TS559_Genomic_Sequence.seq,570751,571086,-,336,1,1,11,1,11,1,1,1,2,0,0
TK0669,TS559_Genomic_Sequence.seq,571165,573672,-,2508,6,0,9,19,21,3,3,1,15,1,1
TK0670,TS559_Genomic_Sequence.seq,573669,574427,-,759,1,0,3,2,3,0,2,1,5,0,0
TK0671,TS559_Genomic_Sequence.seq,574506,575519,-,1014,1,0,1,6,4,0,1,0,3,0,0
TK0672,TS559_Genomic_Sequence.seq,575556,576602,-,1047,0,0,0,0,0,0,0,0,0,0,0
TK0673,TS559_Genomic_Sequence.seq,576802,577581,+,780,1,0,1,0,3,1,0,0,0,0,0
TK0674,TS559_Genomic_Sequence.seq,577595,578041,+,447,0,0,4,3,3,0,0,0,0,0,0
TK0675,TS559_Genomic_Sequence.seq,578541,579878,+,1338,0,0,0,2,1,1,1,0,4,0,0
TK0676,TS559_Genomic_Sequence.seq,579871,581535,+,1665,0,0,4,2,2,0,1,0,7,0,0
TK0677,TS559_Genomic_Sequence.seq,581589,582461,-,873,0,2,0,4,1,1,3,0,3,0,0
TK0678,TS559_Genomic_Sequence.seq,582598,584244,-,1647,3,15,8,64,27,5,23,6,18,0,2
TK0679,TS559_Genomic_Sequence.seq,584733,585398,+,666,0,0,1,2,1,0,0,0,1,0,0
TK0680,TS559_Genomic_Sequence.seq,585391,586224,-,834,0,0,0,1,0,0,0,0,0,0,0
TK0681,TS559_Genomic_Sequence.seq,586399,587040,-,642,0,0,0,0,0,0,0,0,0,0,0
TK0682,TS559_Genomic_Sequence.seq,587236,588966,-,1731,1,1,2,9,15,1,1,1,12,0,0
TK0683,TS559_Genomic_Sequence.seq,589045,590046,-,1002,6,1,8,27,77,0,3,2,7,4,0
TK0684,TS559_Genomic_Sequence.seq,590094,591188,-,1095,2,0,2,23,69,5,6,2,11,1,0
TK0685,TS559_Genomic_Sequence.seq,591434,592207,+,774,1,0,1,2,2,1,1,0,2,0,0
TK0686,TS559_Genomic_Sequence.seq,592245,592973,+,729,2,0,0,0,3,2,0,0,3,0,0
TK0687,TS559_Genomic_Sequence.seq,592930,593511,+,582,0,0,0,1,1,0,0,1,1,0,0
TK0688,TS559_Genomic_Sequence.seq,593540,594181,+,642,1,0,1,0,1,0,0,0,1,0,0
TK0689,TS559_Genomic_Sequence.seq,594165,594626,+,462,1,0,1,0,1,0,0,0,2,0,0
TK0690,TS559_Genomic_Sequence.seq,594626,596566,+,1941,0,0,0,3,10,0,0,0,3,0,2
TK0691,TS559_Genomic_Sequence.seq,596536,597615,-,1080,0,0,0,0,3,0,0,0,2,0,0
TK0692,TS559_Genomic_Sequence.seq,597711,598415,-,705,0,0,0,0,0,0,0,0,1,0,0
TK0693,TS559_Genomic_Sequence.seq,598412,599113,-,702,0,0,0,0,0,0,0,0,2,0,0
TK0694,TS559_Genomic_Sequence.seq,599110,599961,-,852,0,1,0,4,3,0,1,0,4,0,0
TK0695,TS559_Genomic_Sequence.seq,600081,600407,+,327,0,0,0,0,1,0,0,0,0,0,0
TK0696,TS559_Genomic_Sequence.seq,600404,600844,+,441,0,0,0,0,1,0,0,0,0,0,0
TK0697,TS559_Genomic_Sequence.seq,600928,601587,-,660,0,0,0,1,0,0,0,0,0,0,0
TK0698,TS559_Genomic_Sequence.seq,601659,602981,-,1323,0,0,1,3,6,3,2,1,4,0,0
TK0699,TS559_Genomic_Sequence.seq,602992,604413,-,1422,0,1,2,8,3,1,4,1,8,0,0
TK0700,TS559_Genomic_Sequence.seq,604546,604839,+,294,0,0,0,0,0,1,1,0,1,0,0
TK0701,TS559_Genomic_Sequence.seq,604872,605762,-,891,1,0,1,3,3,0,2,0,1,0,0
TK0702,TS559_Genomic_Sequence.seq,605762,606694,-,933,0,0,3,3,8,2,1,0,0,0,0
TK0703,TS559_Genomic_Sequence.seq,606694,607641,-,948,0,0,3,1,6,0,0,0,0,0,1
TK0704,TS559_Genomic_Sequence.seq,607736,608365,+,630,0,0,1,1,3,0,0,0,1,0,0
TK0705,TS559_Genomic_Sequence.seq,608693,610216,+,1524,5,2,4,24,25,1,11,3,12,0,0
TK0706,TS559_Genomic_Sequence.seq,610306,611940,+,1635,3,0,11,43,39,4,8,5,32,0,3
TK0707,TS559_Genomic_Sequence.seq,611937,612884,+,948,2,1,1,20,8,7,9,2,21,1,0
TK0708,TS559_Genomic_Sequence.seq,612871,613632,+,762,0,2,2,28,9,5,4,1,13,0,0
TK0709,TS559_Genomic_Sequence.seq,613629,614390,+,762,1,1,2,9,9,2,1,0,10,1,0
TK0710,TS559_Genomic_Sequence.seq,614395,615132,+,738,2,1,4,11,8,1,5,1,9,0,0
TK0711,TS559_Genomic_Sequence.seq,615133,615642,-,510,0,0,1,0,1,0,0,1,0,0,0
TK0712,TS559_Genomic_Sequence.seq,615729,616391,+,663,0,0,1,0,0,0,1,0,0,0,0
TK0713,TS559_Genomic_Sequence.seq,616446,616892,-,447,0,0,0,0,0,0,0,0,0,0,0
TK0714,TS559_Genomic_Sequence.seq,616889,618907,-,2019,0,0,0,0,0,0,0,0,0,0,0
TK0715,TS559_Genomic_Sequence.seq,618904,619131,-,228,0,0,0,0,0,0,0,0,0,0,0
TK0716,TS559_Genomic_Sequence.seq,619132,619362,-,231,0,0,0,0,0,0,0,0,0,0,0
TK0717,TS559_Genomic_Sequence.seq,619779,620597,+,819,1,2,1,17,8,2,3,2,14,0,0
TK0718,TS559_Genomic_Sequence.seq,620585,621382,+,798,1,0,0,21,13,5,3,1,4,0,0
TK0719,TS559_Genomic_Sequence.seq,621363,622418,+,1056,0,1,5,19,15,1,1,3,3,0,0
TK0720,TS559_Genomic_Sequence.seq,622510,622911,+,402,0,0,0,4,0,0,1,1,3,0,0
TK0721,TS559_Genomic_Sequence.seq,622830,623369,-,540,0,0,1,0,2,0,0,1,1,0,0
TK0722,TS559_Genomic_Sequence.seq,623317,623748,-,432,0,0,0,1,0,0,0,0,0,0,0
TK0723,TS559_Genomic_Sequence.seq,623751,624170,-,420,0,0,1,2,2,0,0,0,0,0,0
TK0724,TS559_Genomic_Sequence.seq,624284,624907,+,624,0,0,1,0,11,1,0,0,0,0,2
TK0725,TS559_Genomic_Sequence.seq,624941,625186,+,246,1,0,2,0,0,0,0,0,0,0,0
TK0726,TS559_Genomic_Sequence.seq,625218,625937,-,720,0,0,2,0,0,0,0,0,1,0,0
TK0727,TS559_Genomic_Sequence.seq,625925,626869,-,945,1,0,1,0,3,0,0,0,3,0,0
TK0728,TS559_Genomic_Sequence.seq,626848,628005,-,1158,0,0,1,1,3,1,0,0,3,0,0
TK0729,TS559_Genomic_Sequence.seq,628077,628679,-,603,0,1,1,3,2,0,0,0,0,0,0
TK0730,TS559_Genomic_Sequence.seq,628700,630040,-,1341,0,1,0,17,3,0,6,3,1,0,2
TK0731,TS559_Genomic_Sequence.seq,630037,630777,-,741,1,0,1,9,3,0,1,1,2,0,0
TK0732,TS559_Genomic_Sequence.seq,630902,631366,+,465,2,0,0,0,12,0,1,1,0,0,1
TK0733,TS559_Genomic_Sequence.seq,631446,631646,+,201,0,0,0,1,2,0,0,0,0,0,0
TK0734,TS559_Genomic_Sequence.seq,631633,632115,+,483,0,0,0,2,1,0,0,0,0,0,0
TK0735,TS559_Genomic_Sequence.seq,632137,632949,+,813,0,0,2,1,1,0,0,0,0,0,0
TK0736,TS559_Genomic_Sequence.seq,632989,633780,+,792,0,0,3,5,8,0,1,0,6,0,0
TK0737,TS559_Genomic_Sequence.seq,633831,634346,-,516,0,0,0,0,0,0,0,0,1,0,0
TK0738,TS559_Genomic_Sequence.seq,634378,634863,-,486,0,0,3,0,0,0,0,0,0,0,0
TK0739,TS559_Genomic_Sequence.seq,635214,636110,+,897,0,0,0,0,0,0,0,0,0,0,0
TK0740,TS559_Genomic_Sequence.seq,634950,635237,-,288,0,0,0,0,0,0,0,0,0,0,0
TK0741,TS559_Genomic_Sequence.seq,636159,636467,+,309,0,0,1,0,4,0,0,0,1,1,0
TK0742,TS559_Genomic_Sequence.seq,636512,637078,+,567,1,1,1,4,2,0,0,0,1,0,0
TK0743,TS559_Genomic_Sequence.seq,637150,637944,-,795,1,0,0,1,0,0,1,0,1,0,0
TK0744,TS559_Genomic_Sequence.seq,638029,638667,+,639,0,0,3,0,3,2,0,1,2,0,0
TK0745,TS559_Genomic_Sequence.seq,638642,639412,-,771,1,0,0,5,6,0,1,0,0,0,0
TK0746,TS559_Genomic_Sequence.seq,639409,640197,-,789,0,0,1,6,8,1,4,3,3,2,0
TK0747,TS559_Genomic_Sequence.seq,640220,640939,-,720,0,0,0,0,0,0,0,0,0,0,0
TK0748,TS559_Genomic_Sequence.seq,640997,641506,+,510,0,0,1,1,0,0,0,0,1,0,0
TK0749,TS559_Genomic_Sequence.seq,641527,642114,-,588,0,0,2,1,2,0,0,0,0,0,0
TK0750,TS559_Genomic_Sequence.seq,642225,642686,+,462,1,0,1,7,3,1,0,0,1,0,0
TK0751,TS559_Genomic_Sequence.seq,642841,643494,+,654,0,0,0,0,0,0,0,0,0,0,0
TK0752,TS559_Genomic_Sequence.seq,643614,645512,-,1899,0,2,0,5,6,1,1,2,2,0,0
TK0753,TS559_Genomic_Sequence.seq,645722,646549,+,828,0,0,0,0,0,0,0,0,0,0,0
TK0754,TS559_Genomic_Sequence.seq,646598,649033,+,2436,1,1,4,9,18,3,1,0,3,1,0
TK0755,TS559_Genomic_Sequence.seq,649103,649600,+,498,0,0,3,3,4,0,1,0,1,0,0
TK0756,TS559_Genomic_Sequence.seq,649603,650103,+,501,0,0,0,1,0,0,1,0,0,0,0
TK0757,TS559_Genomic_Sequence.seq,650214,651356,+,1143,0,0,1,1,3,0,0,0,2,0,1
TK0758,TS559_Genomic_Sequence.seq,651359,652564,-,1206,0,0,3,1,4,0,0,0,2,0,1
TK0759,TS559_Genomic_Sequence.seq,652800,654095,+,1296,2,1,7,23,16,1,7,2,15,0,0
TK0760,TS559_Genomic_Sequence.seq,654953,656695,-,1743,0,2,7,14,15,4,4,1,5,0,1
TK0761,TS559_Genomic_Sequence.seq,656738,657658,-,921,0,0,0,0,0,0,0,0,2,0,0
TK0762,TS559_Genomic_Sequence.seq,657789,658841,-,1053,0,0,0,1,1,1,1,0,3,0,0
TK0763,TS559_Genomic_Sequence.seq,658866,659171,-,306,0,0,0,1,3,0,1,0,0,0,0
TK0764,TS559_Genomic_Sequence.seq,659262,663434,+,4173,1,0,5,3,4,0,1,0,4,1,1
TK0765,TS559_Genomic_Sequence.seq,663598,664602,+,1005,1,1,3,20,15,1,7,4,9,0,1
TK0766,TS559_Genomic_Sequence.seq,664643,665011,+,369,0,0,1,1,0,0,1,0,0,0,0
TK0767,TS559_Genomic_Sequence.seq,665115,665351,+,237,0,0,0,3,2,0,1,0,2,0,0
TK0768,TS559_Genomic_Sequence.seq,665348,665632,-,285,0,0,0,2,2,2,0,0,1,0,0
TK0769,TS559_Genomic_Sequence.seq,665634,666140,-,507,0,0,0,1,0,0,0,0,1,0,0
TK0770,TS559_Genomic_Sequence.seq,666234,666731,-,498,0,0,1,0,1,0,0,0,0,0,0
TK0771,TS559_Genomic_Sequence.seq,666852,668504,+,1653,0,0,0,0,0,1,0,0,0,0,0
TK0772,TS559_Genomic_Sequence.seq,668751,670934,+,2184,0,0,0,1,0,0,1,0,0,0,0
TK0773,TS559_Genomic_Sequence.seq,671055,673001,+,1947,0,0,1,1,0,0,0,0,3,0,0
TK0774,TS559_Genomic_Sequence.seq,673049,673927,+,879,0,0,1,0,1,0,0,0,0,0,0
TK0775,TS559_Genomic_Sequence.seq,673973,674986,+,1014,0,0,0,3,1,0,0,0,5,0,0
TK0776,TS559_Genomic_Sequence.seq,675054,676310,+,1257,0,0,3,2,4,0,0,1,0,0,0
TK0777,TS559_Genomic_Sequence.seq,676318,677166,-,849,2,2,6,3,11,3,1,2,5,0,0
TK0778,TS559_Genomic_Sequence.seq,677159,678070,-,912,1,0,6,20,12,1,4,0,13,0,1
TK0779,TS559_Genomic_Sequence.seq,678116,678829,-,714,0,0,0,1,0,0,0,0,1,0,0
TK0780,TS559_Genomic_Sequence.seq,678980,679486,+,507,0,0,0,0,1,0,0,0,0,0,0
TK0781,TS559_Genomic_Sequence.seq,679724,680770,+,1047,2,1,8,41,31,5,13,4,20,1,1
TK0782,TS559_Genomic_Sequence.seq,680827,681222,+,396,0,0,0,0,0,0,0,0,0,0,0
TK0783,TS559_Genomic_Sequence.seq,681462,681773,-,312,0,0,1,2,6,1,0,0,0,0,0
TK0784,TS559_Genomic_Sequence.seq,681814,683727,+,1914,2,0,3,3,11,0,1,0,3,0,0
TK0785,TS559_Genomic_Sequence.seq,683714,684190,-,477,0,0,1,1,1,0,1,0,1,0,0
TK0786,TS559_Genomic_Sequence.seq,685269,685889,-,621,1,1,1,2,3,0,1,0,3,0,0
TK0787,TS559_Genomic_Sequence.seq,685879,686649,-,771,0,0,1,1,3,0,0,1,2,0,1
TK0788,TS559_Genomic_Sequence.seq,686654,687463,-,810,0,0,0,0,4,0,0,1,2,0,0
TK0789,TS559_Genomic_Sequence.seq,687532,688587,+,1056,0,0,1,0,1,0,1,0,2,0,0
TK0790,TS559_Genomic_Sequence.seq,688611,689045,+,435,0,0,2,2,7,0,1,0,1,0,0
TK0791,TS559_Genomic_Sequence.seq,689076,689342,-,267,0,0,0,0,0,0,0,0,0,0,0
TK0792,TS559_Genomic_Sequence.seq,689332,689517,-,186,0,0,0,0,3,0,0,0,0,0,0
TK0793,TS559_Genomic_Sequence.seq,689566,690369,-,804,1,1,1,8,12,0,2,0,4,0,0
TK0794,TS559_Genomic_Sequence.seq,690403,691833,-,1431,2,0,5,12,16,3,1,2,8,1,1
TK0795,TS559_Genomic_Sequence.seq,691833,693935,-,2103,1,3,2,11,21,2,0,3,6,2,0
TK0796,TS559_Genomic_Sequence.seq,694002,694421,-,420,1,0,1,3,5,1,3,1,1,0,0
TK0797,TS559_Genomic_Sequence.seq,694426,695670,-,1245,3,2,3,16,15,4,5,3,6,0,2
TK0798,TS559_Genomic_Sequence.seq,695667,696824,-,1158,0,1,4,3,6,1,0,2,2,0,2
TK0799,TS559_Genomic_Sequence.seq,696817,698520,-,1704,0,3,5,5,13,1,3,0,9,1,0
TK0800,TS559_Genomic_Sequence.seq,698523,699239,-,717,0,0,2,5,7,0,1,1,2,0,0
TK0801,TS559_Genomic_Sequence.seq,699244,700020,-,777,1,1,2,9,3,1,1,1,1,1,0
TK0802,TS559_Genomic_Sequence.seq,700053,700406,-,354,0,0,0,14,16,0,3,0,3,0,1
TK0803,TS559_Genomic_Sequence.seq,700584,701375,+,792,0,0,3,0,2,1,0,0,0,0,0
TK0804,TS559_Genomic_Sequence.seq,701372,702193,+,822,0,0,0,1,1,0,1,1,0,0,0
TK0805,TS559_Genomic_Sequence.seq,702198,702884,+,687,0,0,1,4,5,1,0,0,1,1,0
TK0806,TS559_Genomic_Sequence.seq,702853,704211,-,1359,1,0,2,2,0,0,1,0,1,0,0
TK0807,TS559_Genomic_Sequence.seq,704325,705476,+,1152,1,0,5,15,18,0,1,1,5,0,1
TK0808,TS559_Genomic_Sequence.seq,705471,705665,-,195,0,0,0,2,4,0,1,0,0,0,0
TK0809,TS559_Genomic_Sequence.seq,705764,707572,+,1809,0,0,4,4,10,3,1,1,9,0,0
TK0810,TS559_Genomic_Sequence.seq,707583,710585,+,3003,2,1,4,2,10,5,1,2,11,0,0
TK0811,TS559_Genomic_Sequence.seq,710716,711456,+,741,14,3,11,65,65,2,10,3,13,0,3
TK0812,TS559_Genomic_Sequence.seq,711461,712135,-,675,2,0,0,4,8,0,0,0,3,0,0
TK0813,TS559_Genomic_Sequence.seq,712194,712649,+,456,2,0,2,7,3,0,0,0,0,0,0
TK0814,TS559_Genomic_Sequence.seq,712709,713938,-,1230,1,0,14,38,33,6,10,9,4,0,1
TK0815,TS559_Genomic_Sequence.seq,714040,714486,-,447,1,0,1,6,3,0,2,0,4,0,0
TK0816,TS559_Genomic_Sequence.seq,714559,715443,-,885,4,1,2,4,8,2,1,1,5,0,0
TK0817,TS559_Genomic_Sequence.seq,715440,717152,-,1713,5,2,7,14,27,3,2,3,12,0,1
TK0818,TS559_Genomic_Sequence.seq,717145,717264,-,120,0,0,0,1,0,0,0,0,0,0,0
TK0819,TS559_Genomic_Sequence.seq,717339,718355,+,1017,0,1,0,1,7,1,0,0,2,0,0
TK0820,TS559_Genomic_Sequence.seq,718523,718804,+,282,0,0,2,1,2,0,0,0,0,0,0
TK0821,TS559_Genomic_Sequence.seq,718806,719597,-,792,0,0,1,0,4,2,1,0,4,0,0
TK0822,TS559_Genomic_Sequence.seq,719705,720442,-,738,0,0,0,0,0,0,0,0,0,0,0
TK0823,TS559_Genomic_Sequence.seq,720502,720786,-,285,0,0,0,0,0,0,0,0,0,0,0
TK0824,TS559_Genomic_Sequence.seq,720814,721320,+,507,1,0,0,1,4,0,1,0,1,0,0
TK0825,TS559_Genomic_Sequence.seq,721322,721497,-,176,1,0,0,0,1,0,0,0,0,0,0
TK0826,TS559_Genomic_Sequence.seq,721608,722132,+,525,0,1,2,5,15,1,0,0,6,0,0
TK0827,TS559_Genomic_Sequence.seq,722158,723330,-,1173,4,1,4,1,6,1,2,1,3,0,0
TK0828,TS559_Genomic_Sequence.seq,723435,724520,-,1086,3,1,10,3,19,4,0,0,5,0,3
TK0829,TS559_Genomic_Sequence.seq,724720,725265,+,546,0,0,0,0,0,0,0,0,0,0,0
TK0830,TS559_Genomic_Sequence.seq,725456,725659,+,204,0,0,1,0,1,0,0,0,0,0,0
TK0831,TS559_Genomic_Sequence.seq,725641,725799,+,159,1,0,2,2,2,0,1,0,0,0,1
TK0832,TS559_Genomic_Sequence.seq,725893,726807,+,915,0,0,0,1,2,0,0,0,0,0,0
TK0833,TS559_Genomic_Sequence.seq,726902,728041,-,1140,1,0,0,0,0,0,0,0,0,0,0
TK0834,TS559_Genomic_Sequence.seq,728098,728676,-,579,0,0,0,0,0,0,0,0,0,0,0
TK0835,TS559_Genomic_Sequence.seq,728860,730005,+,1146,0,0,0,4,0,0,1,0,0,0,0
TK0836,TS559_Genomic_Sequence.seq,729977,730501,+,525,0,0,0,2,0,0,1,0,0,0,0
TK0837,TS559_Genomic_Sequence.seq,730602,733001,+,2400,0,8,0,99,1,0,27,43,1,3,1
TK0838,TS559_Genomic_Sequence.seq,733047,733352,+,306,0,1,0,7,1,0,4,6,0,0,0
TK0839,TS559_Genomic_Sequence.seq,733365,733955,-,591,0,0,0,3,2,0,1,3,0,0,0
TK0840,TS559_Genomic_Sequence.seq,734081,734776,+,696,0,0,0,0,4,0,2,0,2,0,0
TK0841,TS559_Genomic_Sequence.seq,734778,734957,+,180,0,0,0,0,0,0,0,0,0,0,0
TK0842,TS559_Genomic_Sequence.seq,734981,736078,-,1098,1,0,1,1,2,0,1,1,1,0,0
